timestamp,temperature,pressure,vibration,status,fault
2024-01-01 00:00:00,20.37,100.38,0.109,ok,0
2024-01-01 01:00:00,18.77,100.76,0.136,ok,0
2024-01-01 02:00:00,20.94,100.35,0.428,ok,0
2024-01-01 03:00:00,21.19,100.87,0.24,ok,0
2024-01-01 04:00:00,17.74,97.68,0.145,ok,0
2024-01-01 05:00:00,18.54,99.52,0.109,ok,0
2024-01-01 06:00:00,20.27,99.41,0.029,ok,0
2024-01-01 07:00:00,19.76,98.95,0.362,ok,0
2024-01-01 08:00:00,20.14,99.34,0.964,ok,0
2024-01-01 09:00:00,19.16,99.48,0.622,ok,0
2024-01-01 10:00:00,,101.11,0.797,ok,0
2024-01-01 11:00:00,21.15,99.28,1.131,ok,0
2024-01-01 12:00:00,20.32,100.12,0.345,ok,0
2024-01-01 13:00:00,21.61,100.1,0.38,ok,0
2024-01-01 14:00:00,20.84,99.99,0.142,ok,0
2024-01-01 15:00:00,19.27,100.58,0.128,ok,0
2024-01-01 16:00:00,20.76,100.66,0.578,ok,0
2024-01-01 17:00:00,19.19,100.83,0.705,ok,0
2024-01-01 18:00:00,21.41,100.3,0.05,ok,0
2024-01-01 19:00:00,20.32,99.54,0.654,ok,0
2024-01-01 20:00:00,20.18,99.87,0.04,ok,0
2024-01-01 21:00:00,19.6,100.07,0.422,ok,0
2024-01-01 22:00:00,21.91,100.71,0.333,ok,0
2024-01-01 23:00:00,20.27,99.21,0.701,ok,0
2024-01-02 00:00:00,19.97,100.06,0.447,ok,0
2024-01-02 01:00:00,20.08,100.21,0.189,ok,0
2024-01-02 02:00:00,21.16,102.36,0.52,ok,0
2024-01-02 03:00:00,20.98,101.8,0.95,ok,0
2024-01-02 04:00:00,21.06,99.63,0.673,ok,0
2024-01-02 05:00:00,21.1,100.1,0.201,ok,0
2024-01-02 06:00:00,23.17,99.78,0.509,ok,0
2024-01-02 07:00:00,20.13,99.57,0.216,ok,0
2024-01-02 08:00:00,20.03,100.26,0.079,ok,0
2024-01-02 09:00:00,19.68,100.87,0.959,ok,0
2024-01-02 10:00:00,21.42,99.84,0.456,ok,0
2024-01-02 11:00:00,22.05,100.09,0.307,ok,0
2024-01-02 12:00:00,20.58,98.46,0.19,ok,0
2024-01-02 13:00:00,19.73,99.79,0.524,ok,0
2024-01-02 14:00:00,19.77,99.08,0.281,ok,0
2024-01-02 15:00:00,21.56,100.04,0.216,ok,0
2024-01-02 16:00:00,21.69,99.81,0.085,ok,0
2024-01-02 17:00:00,21.47,100.37,0.183,ok,0
2024-01-02 18:00:00,20.04,98.61,0.111,ok,0
2024-01-02 19:00:00,21.14,99.17,0.619,ok,0
2024-01-02 20:00:00,21.02,102.01,0.272,ok,0
2024-01-02 21:00:00,21.16,99.32,0.704,ok,0
2024-01-02 22:00:00,21.97,99.71,0.519,ok,0
2024-01-02 23:00:00,21.21,101.83,0.257,ok,0
2024-01-03 00:00:00,21.77,102.86,0.7,ok,0
2024-01-03 01:00:00,21.06,99.38,0.161,ok,0
2024-01-03 02:00:00,21.35,100.11,0.071,,0
2024-01-03 03:00:00,21.78,100.81,0.215,ok,0
2024-01-03 04:00:00,19.29,101.17,1.034,ok,0
2024-01-03 05:00:00,20.68,99.41,1.009,ok,0
2024-01-03 06:00:00,20.52,99.96,0.033,ok,0
2024-01-03 07:00:00,20.33,100.72,0.116,ok,0
2024-01-03 08:00:00,20.79,100.58,0.567,ok,0
2024-01-03 09:00:00,22.93,100.58,0.452,ok,0
2024-01-03 10:00:00,20.12,99.93,0.163,ok,0
2024-01-03 11:00:00,22.34,99.6,-0.007,ok,0
2024-01-03 12:00:00,19.18,99.56,0.135,ok,0
2024-01-03 13:00:00,20.82,100.03,0.418,ok,0
2024-01-03 14:00:00,21.44,100.62,0.826,ok,0
2024-01-03 15:00:00,21.96,100.14,1.044,ok,0
2024-01-03 16:00:00,22.13,101.02,0.61,ok,0
2024-01-03 17:00:00,22.25,101.49,0.304,ok,0
2024-01-03 18:00:00,20.9,100.39,0.166,ok,0
2024-01-03 19:00:00,20.79,100.52,0.994,ok,0
2024-01-03 20:00:00,22.39,100.76,0.591,ok,0
2024-01-03 21:00:00,21.15,100.35,0.498,ok,0
2024-01-03 22:00:00,19.87,99.38,0.143,ok,0
2024-01-03 23:00:00,20.06,100.27,0.217,ok,0
2024-01-04 00:00:00,20.34,100.02,0.143,ok,0
2024-01-04 01:00:00,22.06,102.29,0.207,ok,0
2024-01-04 02:00:00,21.65,101.75,0.397,ok,0
2024-01-04 03:00:00,22.33,101.01,0.22,ok,0
2024-01-04 04:00:00,21.01,99.69,0.517,ok,0
2024-01-04 05:00:00,21.73,99.63,0.552,ok,0
2024-01-04 06:00:00,22.31,101.65,0.085,ok,0
2024-01-04 07:00:00,21.21,100.57,1.327,warn,0
2024-01-04 08:00:00,22.15,101.03,0.163,ok,0
2024-01-04 09:00:00,20.83,98.85,0.659,ok,0
2024-01-04 10:00:00,21.2,101.1,0.101,ok,0
2024-01-04 11:00:00,21.2,100.72,0.327,ok,0
2024-01-04 12:00:00,20.24,99.19,-0.012,ok,0
2024-01-04 13:00:00,22.28,100.31,0.101,ok,0
2024-01-04 14:00:00,21.16,100.56,0.418,ok,0
2024-01-04 15:00:00,21.75,100.57,0.244,ok,0
2024-01-04 16:00:00,22.34,100.47,0.449,ok,0
2024-01-04 17:00:00,22.32,100.61,0.363,ok,0
2024-01-04 18:00:00,22.6,100.58,0.572,ok,0
2024-01-04 19:00:00,21.7,100.63,0.215,ok,0
2024-01-04 20:00:00,21.33,101.58,0.222,ok,0
2024-01-04 21:00:00,21.76,98.48,0.151,ok,0
2024-01-04 22:00:00,19.86,99.77,0.143,ok,0
2024-01-04 23:00:00,20.16,100.19,0.477,ok,0
2024-01-05 00:00:00,20.33,100.34,0.933,ok,0
2024-01-05 01:00:00,20.74,99.93,0.164,ok,0
2024-01-05 02:00:00,22.44,99.33,0.962,ok,0
2024-01-05 03:00:00,20.89,100.53,0.774,ok,0
2024-01-05 04:00:00,21.55,101.85,0.774,ok,0
2024-01-05 05:00:00,23.58,99.85,0.44,ok,0
2024-01-05 06:00:00,21.61,101.17,0.418,ok,0
2024-01-05 07:00:00,22.95,100.62,0.782,ok,0
2024-01-05 08:00:00,20.96,100.24,1.494,warn,0
2024-01-05 09:00:00,21.85,99.71,0.257,ok,0
2024-01-05 10:00:00,20.98,100.03,1.212,warn,0
2024-01-05 11:00:00,21.73,101.56,0.295,ok,0
2024-01-05 12:00:00,23.17,101.42,0.351,ok,0
2024-01-05 13:00:00,20.11,101.42,0.303,ok,0
2024-01-05 14:00:00,22.72,101.76,0.868,ok,0
2024-01-05 15:00:00,22.51,101.1,0.204,ok,0
2024-01-05 16:00:00,21.53,101.85,0.142,ok,0
2024-01-05 17:00:00,20.52,100.51,0.068,ok,0
2024-01-05 18:00:00,22.37,101.37,0.464,ok,0
2024-01-05 19:00:00,21.66,100.26,0.185,ok,0
2024-01-05 20:00:00,22.6,100.83,0.376,ok,0
2024-01-05 21:00:00,22.37,100.15,0.352,ok,0
2024-01-05 22:00:00,24.28,102.08,0.553,ok,0
2024-01-05 23:00:00,22.09,99.69,0.799,ok,0
2024-01-06 00:00:00,21.17,100.98,0.534,ok,0
2024-01-06 01:00:00,22.64,100.64,0.476,ok,0
2024-01-06 02:00:00,22.7,101.75,0.755,ok,0
2024-01-06 03:00:00,24.09,101.83,0.187,ok,0
2024-01-06 04:00:00,23.48,102.5,0.827,ok,0
2024-01-06 05:00:00,22.93,101.46,0.294,ok,0
2024-01-06 06:00:00,24.28,100.03,0.729,ok,0
2024-01-06 07:00:00,21.11,100.28,0.08,ok,0
2024-01-06 08:00:00,21.79,99.6,0.109,ok,0
2024-01-06 09:00:00,21.47,100.03,0.784,ok,0
2024-01-06 10:00:00,22.13,101.85,0.273,ok,0
2024-01-06 11:00:00,20.97,100.8,0.511,ok,0
2024-01-06 12:00:00,23.4,100.46,0.247,ok,0
2024-01-06 13:00:00,22.39,99.91,0.222,ok,0
2024-01-06 14:00:00,20.92,100.3,0.798,ok,0
2024-01-06 15:00:00,21.48,99.47,0.292,ok,0
2024-01-06 16:00:00,23.1,100.39,0.289,ok,0
2024-01-06 17:00:00,23.75,101.37,0.643,ok,0
2024-01-06 18:00:00,25.16,102.47,1.321,warn,0
2024-01-06 19:00:00,26.28,102.37,0.512,ok,0
2024-01-06 20:00:00,23.3,99.16,0.801,ok,0
2024-01-06 21:00:00,21.63,100.73,0.45,ok,0
2024-01-06 22:00:00,20.28,100.14,0.131,ok,0
2024-01-06 23:00:00,23.18,101.29,0.154,ok,0
2024-01-07 00:00:00,21.9,101.86,0.22,ok,0
2024-01-07 01:00:00,22.4,99.07,0.033,ok,0
2024-01-07 02:00:00,22.19,100.18,0.111,ok,0
2024-01-07 03:00:00,22.77,101.3,0.569,ok,0
2024-01-07 04:00:00,24.24,100.01,0.354,ok,0
2024-01-07 05:00:00,23.17,102.13,0.438,ok,0
2024-01-07 06:00:00,22.81,101.14,0.249,ok,0
2024-01-07 07:00:00,21.78,101.21,0.339,ok,0
2024-01-07 08:00:00,21.03,99.85,0.141,ok,0
2024-01-07 09:00:00,22.48,101.39,1.087,ok,0
2024-01-07 10:00:00,23.02,101.76,0.132,ok,0
2024-01-07 11:00:00,25.22,101.75,0.241,ok,0
2024-01-07 12:00:00,23.28,101.17,0.435,ok,0
2024-01-07 13:00:00,24.32,101.51,0.592,ok,0
2024-01-07 14:00:00,22.56,100.08,0.626,ok,0
2024-01-07 15:00:00,21.76,100.41,0.465,ok,0
2024-01-07 16:00:00,22.04,100.49,0.06,ok,0
2024-01-07 17:00:00,22.35,101.01,0.218,ok,0
2024-01-07 18:00:00,25.79,102.54,0.152,ok,0
2024-01-07 19:00:00,22.27,99.84,0.375,ok,0
2024-01-07 20:00:00,24.29,101.19,0.509,ok,0
2024-01-07 21:00:00,22.22,101.85,0.462,ok,0
2024-01-07 22:00:00,24.44,100.74,0.117,ok,0
2024-01-07 23:00:00,23.8,100.48,0.351,ok,0
2024-01-08 00:00:00,23.17,101.11,0.33,ok,0
2024-01-08 01:00:00,23.33,101.67,0.178,ok,0
2024-01-08 02:00:00,22.61,100.79,0.764,ok,0
2024-01-08 03:00:00,23.96,102.25,0.146,ok,0
2024-01-08 04:00:00,22.89,101.55,0.209,ok,0
2024-01-08 05:00:00,21.99,101.27,0.513,ok,0
2024-01-08 06:00:00,21.95,101.03,0.146,ok,0
2024-01-08 07:00:00,23.71,102.97,0.876,ok,0
2024-01-08 08:00:00,25.41,101.46,0.741,ok,0
2024-01-08 09:00:00,23.73,99.52,0.6,ok,0
2024-01-08 10:00:00,23.42,102.31,0.242,ok,0
2024-01-08 11:00:00,23.92,100.81,0.222,ok,0
2024-01-08 12:00:00,25.17,101.64,1.287,warn,0
2024-01-08 13:00:00,23.88,102.21,0.689,ok,0
2024-01-08 14:00:00,23.15,99.66,0.13,ok,0
2024-01-08 15:00:00,24.99,100.49,0.561,ok,0
2024-01-08 16:00:00,24.19,99.98,0.356,ok,0
2024-01-08 17:00:00,25.54,101.03,1.05,ok,0
2024-01-08 18:00:00,23.94,101.53,0.665,ok,0
2024-01-08 19:00:00,22.27,101.1,0.474,ok,0
2024-01-08 20:00:00,22.12,100.86,0.161,ok,0
2024-01-08 21:00:00,25.76,100.6,0.835,ok,0
2024-01-08 22:00:00,25.87,99.91,0.607,ok,0
2024-01-08 23:00:00,23.6,101.12,0.181,ok,0
2024-01-09 00:00:00,23.38,100.64,0.942,ok,0
2024-01-09 01:00:00,25.61,102.05,0.928,ok,0
2024-01-09 02:00:00,22.55,101.33,0.707,ok,0
2024-01-09 03:00:00,22.83,100.96,0.26,ok,0
2024-01-09 04:00:00,24.69,102.02,0.361,ok,0
2024-01-09 05:00:00,23.47,101.22,0.467,ok,0
2024-01-09 06:00:00,23.95,101.61,0.201,ok,0
2024-01-09 07:00:00,23.78,100.57,0.916,ok,0
